Company Name, ,Job Title, , ,Date Applied
DoorDash,,Software Engineer Intern,,,Dec-25-2025
Nimble,,Nimble Engineer,,,Dec-26-2025
Ripple,,Software Engineer Intern,,,Dec-26-2025
Capital One Canada,,"Intern, Full Stack Software Engineer",,,Dec-26-2025
Capital One Canada,,"Intern, Backend Software Engineer",,,Dec-26-2025
Capital One Canada,,"Intern, Mobile Software Engineer",,,Dec-26-2025
Deloitte,,Software Engineering intern,,,Dec-27-2025
Deloitte,,Co-op/Intern,,,Dec-27-2025
Intact,,Software Developer Intern,,,Jan-07-2026
Intact,,Google Cloud Developer intern,,,Jan-07-2026
Intact,,Google Cloud Developer Intern,,,Jan-08-2026
TD,,Co-op/Intern - DevOps Engineer,,,Jan-08-2026
TD,,Software Engineer Intern/Co-op,,,Jan-08-2026
TD,,Software Engineer Intern,,,Jan-08-2026
TD,,Software Engineer,,,Jan-08-2026
TD,,Software Engineer,,,Jan-08-2026
RBC,,Quality Engineering or Automation Student,,,Jan-08-2026
IMCO,,Data Analyst Intern,,,Jan-08-2026
Stripe,,Software Engineer Intern,,,Jan-08-2026
OpenTable,,AI Engineering Intern,,,Jan-08-2026
Citi,,Summer Technology Analyst (Production Support Analyst),,,Jan-08-2026
Autodesk,,Data Developer,,,Jan-08-2026
BDO,,"Co-op or Intern, Data & Analytics",,,Jan-08-2026
BDO,,"Co-op or Intern, DevOps Engineer",,,Jan-08-2026
BDO,,"Co-op or Intern, Cloud Analyst",,,Jan-08-2026
BDO,,"Co-op or Intern, Full-Stack Developer",,,Jan-08-2026
RBC Wealth Management,,Summer Intern - Technology/Developerroles,,,Jan-08-2026
RBC Borealis,,Co-op Machine Learning Software Engineer,,,Jan-08-2026
TD,,Software Developer Intern/Co-op,,,Jan-13-2026
PointClickCare,,Co-op Platform Engineer,,,Jan-13-2026
PointClickCare,,"Software Engineer, Co-op",,,Jan-13-2026
Arthur Health,,AI Agent Development Co-op,,,Jan-13-2026
Geotab,,Software Developer Interns,,,Jan-13-2026
National Research Council (NRC),,Data Science - ML for materials discovery and process optimization,,,Jan-13-2026
CGI,,AI Software Developer,,,Jan-13-2026
CGI,,Software Engineering Co-op,,,Jan-13-2026
No company name is provided in the text.,,Cloud Engineering Intern,,,Jan-14-2026
Sun Life,,Student DevOps Engineer,,,Jan-14-2026
Sun Life,,Analytics and Automation Centre of Excellence Specialist,,,Jan-14-2026
QuadReal Property Group,,Data Engineering Intern,,,Jan-14-2026
Manulife,,Software Developer Intern,,,Jan-14-2026
Sun Life,,Cloud Operations Student,,,Jan-14-2026
CGI,,Delivery Analytics Co-op,,,Jan-14-2026
Finastra,,Automation QA Intern,,,Jan-14-2026
S&C Electric Canada,,Junior Systems Administrator,,,Jan-14-2026
Evertz,,Software Engineer Intern,,,Jan-14-2026
Redcan.ai,,Software Engineer,,,Jan-14-2026
Loblaw Digital,,"Co-op Student, Machine Learning Engineer",,,Jan-14-2026
Lyft,,Machine Learning Engineer Intern,,,Jan-15-2026
Bank of Canada,,Information Technology And Cyber Security Positions,,,Jan-15-2026
Fidelity,,"Student, IT Automation",,,Jan-15-2026
Fidelity Canada,,"Student, Development & Application Support (Workflow Management Systems)",,,Jan-15-2026
Fidelity Canada,,"Student, IT Architecture",,,Jan-15-2026
Fidelity Canada,,"Student, Emerging Technologies",,,Jan-15-2026
TD,,DevOps Engineer,,,Jan-15-2026
Deloitte,,Practitioner in AI & Data,,,Jan-15-2026
IBM,,Developer Intern,,,Jan-15-2026
Definity,,Technology Solutions Co-op,,,Jan-15-2026
Sun Life,,API Developer (Co-op),,,Jan-15-2026
RBC,,"Data Scientist, Advanced People Analytics",,,Jan-15-2026
RBC,,Data Analyst/Engineer,,,Jan-15-2026
RBC (Royal Bank of Canada),,Data Student,,,Jan-15-2026
None,,DevOps Engineer Co-op/Intern,,,Jan-15-2026
Definity,,Student in Quality Assurance,,,Jan-15-2026
Definity,,Cloud Architect Co-opStudent,,,Jan-15-2026
IDEMIA,,AI Engineer Intern,,,Jan-15-2026
Equitable,,Quality Assurance Co-op Student,,,Jan-15-2026
Cisco,,Software Developer,,,Jan-15-2026
The Trade Desk,,Software Engineer,,,Jan-15-2026
Cresta,,AI Quality Assurance Intern,,,Jan-16-2026
Constellationhbs,,Software Developer Intern,,,Jan-16-2026
IKO Industries Ltd.,,Data Engineer,,,Jan-16-2026
Index Exchange,,Software Engineer,,,Jan-16-2026
Waabi,,Safety Methodologies Intern,,,Jan-16-2026
BMO,,Software Developer,,,Jan-17-2026
BMO Financial Group,,Software Developer,,,Jan-17-2026
HireShire,,Data Engineering Intern,,,Jan-18-2026
HireShire,,DevOps Engineering Intern,,,Jan-18-2026
Hireshire,,DevOps Engineering Intern,,,Jan-18-2026
HireShire,,DevOps Engineering Intern,,,Jan-18-2026
Lincoln Electric,,Software Development Intern,,,Jan-18-2026
Hitachi Rail,,Software Analyst Intern,,,Jan-18-2026
Ciena,,Automation Tools Developer,,,Jan-18-2026
Coca-Cola,,Data Scientist Intern,,,Jan-19-2026
Bank of Canada,,Student Web Developer,,,Jan-19-2026
Manulife,,Cloud Engineering Intern,,,Jan-19-2026
OLG,,Digital Analyst Co-op Student,,,Jan-19-2026
Intact,,AI Developer Intern,,,Jan-19-2026
Choice Properties REIT,,"Summer Student, Information Security",,,Jan-19-2026
Waabi,,Software Developer Intern/Co-op,,,Jan-19-2026
Wealthsimple,,Intern,,,Jan-19-2026
Wealthsimple,,Internship,,,Jan-19-2026
First Capital,,Data & Automation Intern,,,Jan-20-2026
"Rothmans, Benson & Hedges Inc.",,Inkompass Head Office IT B2C Intern,,,Jan-20-2026
PepsiCo,,IT Analytics Co-op,,,Jan-19-2026
PepsiCo Canada,,Data Science Co-op,,,Jan-19-2026
PepsiCo,,IT Analytics & Automation Internship,,,Jan-19-2026
CIBC,,Application Developer Co-op,,,Jan-19-2026
CIBC,,Cloud Engineering Co-op,,,Jan-19-2026
CIBC,,Software/Application Developer Co-op,,,Jan-20-2026
CIBC,,Application/Software Developer Co-op,,,Jan-20-2026
TD,,Software Engineer Intern/Co-op,,,Jan-20-2026
Exiger,,AI Data Engineer Intern,,,Jan-20-2026
Info-Tech Research Group,,Co-op Software Developer,,,Jan-20-2026
Crestpoint Real Estate Investments Ltd.,,"Intern, Financial Data Analyst",,,Jan-20-2026
Super.com,,Infrastructure Engineering Intern,,,Jan-20-2026
Info-Tech Research Group,,Co-op Software Developer,,,Jan-20-2026
TMX Group,,Risk Analyst Student Intern,,,Jan-20-2026
AstraZeneca Canada,,Data & AI Solutions summer student,,,Jan-20-2026
Cohere,,Intern of Technical Staff - Sovereign AI,,,Jan-21-2026
KPMG,,Digital Security Group Security Analyst,,,Jan-21-2026
CIBC,,Application/Software Developer Co-op,,,Jan-21-2026
Generac,,Data Science Intern,,,Jan-21-2026
BMO Financial Group,,Technical Analyst,,,Jan-21-2026
Staccato,,(MSIP) Full Stack Developer Intern,,,Jan-22-2026
Dell Technologies,,Software Developer,,,Jan-22-2026
Ford,,Software Developer - AI/ML,,,Jan-22-2026
Toyota Canada Inc.,,"Co-op, Information Security",,,Jan-22-2026
Toyota Canada Inc.,,"Co-op, AWS Administrator",,,Jan-22-2026
Toyota Canada Inc.,,"Co-op, Technical Support Analyst",,,Jan-22-2026
General Dynamics Mission Systems-Canada,,"Co-op May 2026 - Advanced Vetronics Software Development, M1A1 Battle Tank",,,Jan-22-2026
Ford,,Software Quality Assurance Developer Intern,,,Jan-22-2026
Ford of Canada,,Wi-Fi Software Test Intern,,,Jan-22-2026
Ford,,Software Developer Intern,,,Jan-22-2026
Ford,,Cloud Software Developer Intern,,,Jan-22-2026
Sun Life,,Associate DevOps Engineer,,,Jan-23-2026
CIMA+,,Information Technology Intern,,,Jan-23-2026
Ontario Power Generation (OPG),,Co-op Student,,,Jan-23-2026
CGI,,Cloud Security Specialist,,,Jan-23-2026
RBC,,Analytics Intern,,,Jan-24-2026
